dataset,field,value,n_features
San Mateo vegetation,MAP_CLASS_18,"Schinus (molle, terebinthifolius) – Myoporum laetum Semi-natural Alliance",5
San Mateo vegetation,MAP_CLASS_18,Cercocarpus montanus Alliance,4
San Mateo vegetation,MAP_CLASS_18,Intensively Managed Hayfield,4
San Mateo vegetation,MAP_CLASS_18,Salix exigua Alliance,4
San Mateo vegetation,MAP_CLASS_18,"Cakile (edentula, maritima) Provisional Semi-Natural Alliance",3
San Mateo vegetation,MAP_CLASS_18,Garrya elliptica Provisional Association,3
San Mateo vegetation,MAP_CLASS_18,"Zostera (marina, pacifica) Pacific Aquatic Alliance",3
San Mateo vegetation,MAP_CLASS_18,Carthamus lanatus Invasive Mapping Unit,2
San Mateo vegetation,MAP_CLASS_18,"Diplacus (aurantiacus, puniceus) Association",2
San Mateo vegetation,MAP_CLASS_18,Quercus agrifolia / Salix lasiolepis Association,2
San Mateo vegetation,MAP_CLASS_18,Salix hookeriana – Salix sitchensis – Spiraea douglasii Alliance,2
San Mateo vegetation,MAP_CLASS_18,Calamagrostis nutkaensis Alliance,1
San Mateo vegetation,MAP_CLASS_18,"Ceanothus (oliganthus, tomentosus) Alliance",1
San Mateo vegetation,MAP_CLASS_18,"Hesperocyparis abramsiana / Arctostaphylos (crustacea, silvicola) Association",1
San Mateo vegetation,MAP_CLASS_18,Heterotheca sessiliflora – Danthonia californica Provisional Association,1
San Mateo vegetation,MAP_CLASS_18,Juglans hindsii and Hybrids Special Stands and Semi-Natural Alliance,1
San Mateo vegetation,MAP_CLASS_18,Populus fremontii – Fraxinus velutina – Salix gooddingii Alliance,1
San Mateo vegetation,MAP_CLASS_18,Western North American Freshwater Aquatic Vegetation Macrogroup,1
San Mateo vegetation,LIFEFORM_18,Forest,52053
San Mateo vegetation,LIFEFORM_18,Shrub,21484
San Mateo vegetation,LIFEFORM_18,Developed,5704
San Mateo vegetation,LIFEFORM_18,Herbaceous,4781
San Mateo vegetation,LIFEFORM_18,Riparian Forest,4750
San Mateo vegetation,LIFEFORM_18,Tidal Wetland,3595
San Mateo vegetation,LIFEFORM_18,Mudflat,2481
San Mateo vegetation,LIFEFORM_18,Water,1647
San Mateo vegetation,LIFEFORM_18,Ag,476
San Mateo vegetation,LIFEFORM_18,Freshwater Herbaceous Wetland,396
San Mateo vegetation,LIFEFORM_18,Barren and Sparsely Vegetated,201
San Mateo vegetation,LIFEFORM_18,Major Road,9
San Mateo vegetation,LIFEFORM_18,Eel Grass,3
San Mateo vegetation,FOREST_LIFEFORM_18,Conifer,31703
San Mateo vegetation,FOREST_LIFEFORM_18,Shrub,21400
San Mateo vegetation,FOREST_LIFEFORM_18,Evergreen Hardwood,13573
San Mateo vegetation,FOREST_LIFEFORM_18,Developed,5704
San Mateo vegetation,FOREST_LIFEFORM_18,Riparian Forest,4750
San Mateo vegetation,FOREST_LIFEFORM_18,Herbaceous,4512
San Mateo vegetation,FOREST_LIFEFORM_18,Non-native Forest,3815
San Mateo vegetation,FOREST_LIFEFORM_18,Tidal Wetland,3595
San Mateo vegetation,FOREST_LIFEFORM_18,Mudflat,2481
San Mateo vegetation,FOREST_LIFEFORM_18,Forest,1891
San Mateo vegetation,FOREST_LIFEFORM_18,Water,1647
San Mateo vegetation,FOREST_LIFEFORM_18,Deciduous Hardwood,1071
San Mateo vegetation,FOREST_LIFEFORM_18,Freshwater Herbaceous Wetland,396
San Mateo vegetation,FOREST_LIFEFORM_18,Non-native Herbaceous,269
San Mateo vegetation,FOREST_LIFEFORM_18,Barren and Sparsely Vegetated,201
San Mateo vegetation,FOREST_LIFEFORM_18,Annual Cropland,186
San Mateo vegetation,FOREST_LIFEFORM_18,Vineyard,127
San Mateo vegetation,FOREST_LIFEFORM_18,Non-native Shrub,84
San Mateo vegetation,FOREST_LIFEFORM_18,Orchard or Grove,69
San Mateo vegetation,FOREST_LIFEFORM_18,Nursery or Ornamental Horticulture Area,46
San Mateo vegetation,FOREST_LIFEFORM_18,Perennial Agriculture,37
San Mateo vegetation,FOREST_LIFEFORM_18,Major Road,9
San Mateo vegetation,FOREST_LIFEFORM_18,Irrigated Pasture,7
San Mateo vegetation,FOREST_LIFEFORM_18,Intensively Managed Hayfield,4
San Mateo vegetation,FOREST_LIFEFORM_18,Eel Grass,3
San Mateo vegetation,IMPERVIOUS_18,0,61655
San Mateo vegetation,IMPERVIOUS_18,1,3803
San Mateo vegetation,IMPERVIOUS_18,2,3071
San Mateo vegetation,IMPERVIOUS_18,3,2799
San Mateo vegetation,IMPERVIOUS_18,4,2485
San Mateo vegetation,IMPERVIOUS_18,5,2316
San Mateo vegetation,IMPERVIOUS_18,6,2063
San Mateo vegetation,IMPERVIOUS_18,7,1824
San Mateo vegetation,IMPERVIOUS_18,8,1504
San Mateo vegetation,IMPERVIOUS_18,9,1363
San Mateo vegetation,IMPERVIOUS_18,10,1195
San Mateo vegetation,IMPERVIOUS_18,11,1035
San Mateo vegetation,IMPERVIOUS_18,12,912
San Mateo vegetation,IMPERVIOUS_18,13,849
San Mateo vegetation,IMPERVIOUS_18,14,665
San Mateo vegetation,IMPERVIOUS_18,15,593
San Mateo vegetation,IMPERVIOUS_18,16,536
San Mateo vegetation,IMPERVIOUS_18,17,416
