LctGUID,LoctnID,ParkCod,Project,Dscrptn,AcCRLFB,Watrshd,Ltc_Lnt,WatrRgm,StpUTMX,StpUTMY,UtmZone,StartLt,StartLn,StopLat,StopLon,Datum,EstHErr,AccNots,Elevatn,EstVErr,Aspect,Slope,Dirctns,Commnts,Hbtt_ty,County
{9BD393A1-58BA-4A7D-8C51-DE6D3764FBBB},RC26,GOGA,CRLF,Horse corral,No,Redwood Creek,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,Seasonally flooded wetland used by Oceanriders as corral,,Marin
{997700D8-318F-404B-81B6-571698FE9288},RC27,GOGA,CRLF,Big Lagoon Environs @ backdune swale and side channel at foot bridge,No,Redwood Creek,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,seasonal backdune swale and intermittent side channel from Redwood Creek below footbridge,marsh,Marin
{0C88B627-C51D-44D1-A5C7-25009C0B8D17},RC28,GOGA,CRLF,Big Lagoon Environs @ Pasture C,No,Redwood Creek,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,"seasonal, east of levee and Coastal Trail and ag ditch, USGS P143D, Pasture C in PWA report",marsh,Marin
{98CDEFAC-8380-43FD-90DC-E5B818FF7B66},RC29,GOGA,CRLF,Big Lagoon Environs- Horse pasture,No,Redwood Creek,lentic,seasonal,537429,4190388,10,,,,,NAD83,,,,,,,,"Coordinates are approximate rectangle corners from 1993 aerial. Includes RC01,02,03, 28. USGS P584,580,143A-D",marsh,Marin
{E9E645C3-A9AC-409A-82A1-EA4402F55867},RL01,GOGA,CRLF,Gerbode Creek Wetland,No,Rodeo Lagoon,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,"Seasonally flooded wetland caused by trail/road ""dam"" at intersection of Miwok and Bobcat trails",marsh,Marin
{4EC1D4DC-CC1F-4D85-9C58-D15B07F859ED},RL02,GOGA,CRLF,Rodeo Lake,Yes,Rodeo Lagoon,lentic,perennial,,,,,,,,NAD83,,,,,,,,"Perennial, artificial freshwater lake created by U.S. Army in 1930's",pond,Marin
{3DF63B35-539B-4BA5-9032-E33EAB588C94},RL03,GOGA,CRLF,Lower Rodeo Creek @ Rodeo Lake,No,Rodeo Lagoon,lotic,seasonal,,,10,,,,,NAD83,,,,,,,,at confluence with Rodeo Lake,stream,Marin
{D253A41D-9F60-4933-A707-096FB5FA8AEB},RL04,GOGA,CRLF,Rodeo Lagoon-East shore,No,Rodeo Lagoon,lentic,perennial,541467,4187130,10,,,,,NAD83,,,,,,,,,lagoon,Marin
{6A36C9F1-7848-424D-A39C-146B0EFEC7C9},RL06,GOGA,CRLF,Surfer Lot wetland,No,Rodeo Lagoon,lentic,seasonal,540523,4187307,10,,,,,NAD83,,,,,,,,Former dirt parking lot and emergent marsh,marsh,Marin
{E37782B6-A1F3-4E7B-BA23-EB0FA1343E82},RL07,GOGA,CRLF,Battery Townsley gun pit,No,Rodeo Lagoon,lentic,perennial,,,,,,,,,,,340,,,,,Artificial pond in gun pit,pond,Marin
{EC762452-F72E-4BE9-BF27-508217070904},RL08,GOGA,CRLF,Rodeo Lagoon-Bunker Rd between T-1111 and Field Rd,No,Rodeo Lagoon,,,541927,4187201,10,,,,,NAD83,,,,,,,,Road between T-1111 and Field Rd (sewer lift station),road,Marin
{0AF6496E-7CDA-4F08-B4BD-EB7F084C41E1},RT01,GOGA,CRLF,Intersection of Miwok Trail and Rodeo Valley Trail,No,Rodeo Lagoon,lentic,seasonal,542403,4187649,10,,,,,NAD83,,,30,,,,,Fire Road crossing over creek,,Marin
{75642347-066C-40F2-9002-D57B9AB236B4},RT02,GOGA,CRLF,Seep on Rodeo Valley Trail,No,Rodeo Lagoon,lentic,seasonal,543423,4187687,10,,,,,NAD83,,,150,,,,,"Seep that crossed trail, now flows through trenches across trail",spring,Marin
{FFCD7B18-4FCB-4814-BBAA-D54800E81D4E},SB01,GOGA,CRLF,Sutro Bath,No,Sutro Bath,lentic,perennial,,,10,,,,,NAD83,,,,,,,,,spring,San Francisco
{04E8BA46-1D60-49A8-9805-E7761EC2C9D1},SM01,GOGA,CRLF,Sweeney Ridge-South Meadow,No,San Mateo Creek,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,,meadow,San Mateo
{C52CAED8-C75F-42E9-8FD7-37FC3955D447},SP01,GOGA,CRLF,Sweeney Ridge-Discovery Site,No,San Pedro Creek,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,,spring,San Mateo
{082EB186-91CA-480C-967E-06BED185994B},TV01,GOGA,CRLF,Tennessee Valley Haypress Pond,No,Tennessee Valley,lentic,perennial,,,10,,,,,NAD83,,,,,,,,Pond has been removed in 2003,pond,Marin
{3EDCFC32-6679-4AFF-A0E7-3E98BC1D68FE},TV02,GOGA,CRLF,Tennessee Valley Cove Pond,Yes,Tennessee Valley,lentic,perennial,,,10,,,,,NAD83,,,,,,,,"Artificial pond created in 1950's. 3- to 12-ft deep, 2.7 ac-ft perennial freshwater impoundment",pond,San Mateo
{502E06DE-ACDB-4A04-BC2A-1EE2D154F95F},TV03,GOGA,CRLF,Backdoor Pond,No,Tennessee Valley,lentic,perennial,,,10,,,,,NAD83,,,,,,,,,pond,Marin
{FB22867A-2142-4EB4-A5A0-F83B0729DE37},TV04,GOGA,CRLF,Tennessee Valley Creek (Elk Crk),No,Tennessee Valley,lotic,seasonal,540577,4189305,10,,,,,NAD83,,,,,,,,Above Tenn. Cove Marsh,stream,Marin
{4450A7E8-6B34-4783-A58E-791D19CEC4E7},TV05,GOGA,CRLF,Tennessee Valley Cove Marsh,No,Tennessee Valley,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,Marsh upstream of Tenn. Cove Pond,marsh,Marin
{4AF38B79-3FB1-4403-8FE7-B7D6852B8BCD},TV06,GOGA,CRLF,Tennessee Valley Cove Slough,Yes,Tennessee Valley,lentic,perennial,539481,4188428,10,,,,,NAD83,,,,,,,,Slough below Tenn. Cove Pond,slough,Marin
{D17FA224-44DE-4E05-B8B5-0AE4190545A2},TV07,GOGA,CRLF,Haypress Creek,No,Tennessee Valley,lotic,seasonal,540270,4190188,10,,,,,NAD83,,,,,,,,intermittent creek channel below Haypress campground,stream,Marin
{A85BB11F-38ED-4D60-A8C0-5575A2797ECF},WG01,GOGA,CRLF,Bolinas-Fairfax Wetland,Yes,Wilkins Gulch,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,"Seasonal, sometimes brackish wetland adjacent to Hwy 1 and Bolinas-Fairfax Rd intersection",marsh,Marin
